hrNo,hrName,birthday,sex,faHrNo,faHrName,moHrNo,moHrName,damsireNo,damsireName,src
3103760,백록천하,20210419,수,3009526,백두장사,3011797,백록현주,,,API8_2
3107515,백록황후,20230430,암,3018228,남북대로,3009600,선양황후,,,API8_2
3104765,백룡여걸,20220424,암,3014739,설중매,3013176,바다풍경,,,API8_2
3103482,백룡의힘,20210519,거,3015451,튼튼세상,3011460,문화의힘,,,API8_2
3104183,백용해,20220318,수,3017565,화룡특급,3015326,하늘공주,,,API8_2
3109374,백호기,20240410,거,3017491,러너킹,3015646,개성시대,,,API8_2
3013375,백호보배,20100426,수,3005576,꿈바위,3008207,여걸작,,,API8_2
3103457,백호여걸,20210209,암,3100061,-,3018148,금빛축제,,,API8_2
3102615,백호전사,20200221,수,3009296,푸른대왕,3009534,백호화랑,,,API8_2
3107448,백화지왕,20230320,암,3009526,백두장사,3012120,하늘비상,,,API8_2
3015530,번개왕자,20130301,거,3009526,백두장사,3100803,-,,,API8_2
3102618,번개제왕,20190305,거,3100032,-,3100353,-,,,API8_2
3017660,범나비,20160501,수,3100982,-,3013455,명품열차,,,API8_2
3018408,별빛누리,20180214,수,3009526,백두장사,3014927,별빛축제,,,API8_2
3104321,별빛찬란,20220111,거,3009526,백두장사,3014927,별빛축제,,,API8_2
3107553,별빛천하,20230127,암,3018896,삼다백호,3014927,별빛축제,,,API8_2
3102939,별빛최강,20200215,거,3016320,청마시대,3014927,별빛축제,,,API8_2
3103787,보라매,20210416,거,3017556,황해무적,3011323,천지세대,,,API8_2
3107320,보화,20230418,거,3015597,일대태수,3100603,-,,,API8_2
3103349,볼트여왕,20210602,암,3016994,태흥성,3015918,비오톱,,,API8_2
3104719,봄나래,20220526,거,3016994,태흥성,3102144,-,,,API8_2
3109207,봉개강자,20240325,거,3100316,-,3013443,겸비,,,API8_2
3107899,봉래산,20230530,거,3014739,설중매,3018111,광아의여걸,,,API8_2
3108166,봉성태양,20230320,거,3013695,황산벌,3017330,봉성미래,,,API8_2
3103695,봉천수,20210425,수,3017565,화룡특급,3009220,장올목마,,,API8_2
3101898,북문대로,20200420,거,3016320,청마시대,3016368,진가발휘,,,API8_2
3107556,불꽃강자,20230306,거,3018896,삼다백호,3019000,불빛여걸,,,API8_2
3103407,불꽃신사,20210527,거,3009296,푸른대왕,3012576,바다여행,,,API8_2
3107416,불꽃천하,20230331,거,3013465,개벽신화,3018993,제주불꽃,,,API8_2
3103948,불범,20210320,수,3011133,장백산,3016279,가을향기,,,API8_2
3017944,불빛최강,20170305,거,3012382,쾌속장타,3009534,백호화랑,,,API8_2
3107863,불야성,20230418,수,3018933,오라태양,3016929,불꽃여신,,,API8_2
3107887,불패기상,20230517,암,3018280,멋진기상,3016926,이대도강,,,API8_2
3107838,붉은노을,20230412,거,3014517,너울,3013763,광화문,,,API8_2
3109416,붉은진주,20240407,암,3101680,아자아자,3015318,신흥강국,,,API8_2
3107302,브라더스,20230313,수,3013465,개벽신화,3010283,미니비행,,,API8_2
3103595,블랙강자,20210507,거,3009526,백두장사,3007313,녹색도시,,,API8_2
3109226,블랙문,20240215,암,3101680,아자아자,3011858,등선나루,,,API8_2
3107434,블랙비어드,20230120,거,3100316,-,3011858,등선나루,,,API8_2
3107295,블랙타이거,20230408,암,3017693,아라신화,3017679,경성황후,,,API8_2
3108992,블루아이,20240517,암,3101680,아자아자,3018611,구미호,,,API8_2
3107876,블루칸,20230402,거,3015597,일대태수,3018279,비룡미인,,,API8_2
3102268,비궁,20200228,암,3100061,-,3015615,스페이스,,,API8_2
3101740,비래천마,20200426,거,3100327,-,3014749,행복한,,,API8_2
3102610,비룡신공,20200310,거,3014739,설중매,3014724,상록수,,,API8_2
3105245,비룡진주,20220317,암,3015597,일대태수,3018279,비룡미인,,,API8_2
3107418,비상대로,20230507,암,3018228,남북대로,3017914,참세상,,,API8_2
3101281,비상신호,20180609,암,3100032,-,3013636,대륙군왕,,,API8_2
3109222,비상신화,20240224,암,3018934,오라태풍,3016683,황이명성,,,API8_2
3107554,비상질주,20230313,암,3018896,삼다백호,3014328,달빛여신,,,API8_2
3109220,비상천하,20240207,거,3018934,오라태풍,3013338,회천맹주,,,API8_2
3107462,비상특급,20230202,암,3018896,삼다백호,3018594,금빛소리,,,API8_2
3108142,비상호,20230306,암,3100032,-,3017498,백록여걸,,,API8_2
3018749,비천도해,20180424,거,3009526,백두장사,3014423,가리사니,,,API8_2
3107888,빈체로,20230315,거,3009526,백두장사,3018318,역대명성,,,API8_2
3107319,빛나는순간,20230419,암,3017491,러너킹,3018912,산자수명,,,API8_2
3104711,빛나라공주,20220501,암,3018228,남북대로,3016332,천년공주,,,API8_2
3018810,빛의기사,20180318,거,3012382,쾌속장타,3009196,정성,,,API8_2
3102954,빛의영웅,20200406,거,3100032,-,3010274,임금바위,,,API8_2
3108991,빛한나,20240508,암,3100032,-,3018775,황금향,,,API8_2
3107834,사계절,20230424,암,3100527,-,3017385,용담여신,,,API8_2
3109370,사군자,20240304,암,3100316,-,3015578,우당거목,,,API8_2
3107615,사라호,20230402,암,3017894,신의용병,3101293,-,,,API8_2
3104122,사랑바람,20220430,수,3017491,러너킹,3016329,사랑가득,,,API8_2
3107614,사랑이,20230420,거,3018896,삼다백호,3016329,사랑가득,,,API8_2
3018494,사상최강,20180503,거,3009526,백두장사,3100938,-,,,API8_2
3108056,산록대장,20230529,거,3011133,장백산,3100522,-,,,API8_2
