hrNo,hrName,birthday,sex,faHrNo,faHrName,moHrNo,moHrName,damsireNo,damsireName,src
0052885,나스카불청객,20230208,암,0041800,메디치글로리,0040130,새즈미즈엘리자베,,,API8_2
0045900,나올대왕,20200415,거,0040086,위드디스팅션,0033022,그리자이,,,API8_2
0052968,나올오로라,20230228,암,0036732,머스킷맨,0050534,컨플레이트,,,API8_2
0053378,나올패스,20230409,암,0041628,세이브더월드,0027730,오리엔탈패스,,,API8_2
0056350,나우데이즈,20240306,암,0038387,콩코드포인트,0028968,나우코프위드디스,,,API8_2
0051353,나이스위너,20220327,거,0046317,레이스데이,0036619,잇메익스헐민,,,API8_2
0054787,나이스포스,20220429,수,6109240,모스피릿,6101553,CITIZEN EMMA,,,API8_2
0052945,나이트강자,20230219,수,7000060,나이트러스,0030487,대륙강자,,,API8_2
0055364,나이트선더,20240217,암,7000060,나이트러스,0041720,선더마크,,,API8_2
0053927,나이트캡틴,20230428,암,0046317,레이스데이,0031267,쉬저스트마이트,,,API8_2
0051369,나인스피어,20220318,암,0038391,카우보이칼,0037192,우주대왕,,,API8_2
0056847,남경스피닝,20240329,암,0038391,카우보이칼,0033738,에이스스피닝,,,API8_2
0055861,남경에이스,20240327,수,0038245,미스치비어슬리,0041962,호니미에르,,,API8_2
0056769,남산돌진,20240403,암,0052316,콘서트투어,0029823,돌진,,,API8_2
0060704,남산록,20230221,수,6149768,KNOWN AGENDA,7036455,PINK FIZZ,,,API8_2
0043840,남산무적,20190227,수,0020256,메니피,0038355,스마트어트랙션,,,API8_2
0046733,남산미남,20210126,거,0038387,콩코드포인트,0022929,빅토리캠프,,,API8_2
0060361,남산벨트,20230220,암,7000184,BEAU LIAM,6150150,MY AUNT BETH,,,API8_2
0055894,남산블랙,20220408,수,6149581,스펀투런,6150325,GRAN LUCKY GIRL,,,API8_2
0055437,남산스페셜,20240208,수,0038245,미스치비어슬리,0038376,우먼볼트,,,API8_2
0051868,남촌서브,20220430,암,0041566,투아너앤드서브,0036298,바이스댄서,,,API8_2
0050816,남촌타운,20220222,수,0045050,섀클포드,0033020,소머치펀,,,API8_2
0052115,내게로와줘,20220405,거,0033566,파워블레이드,0036469,리워드하이,,,API8_2
0051835,내길의에이스,20220427,암,0038391,카우보이칼,0025811,싱크오어스윔,,,API8_2
0050807,내길의여정,20220331,거,0040086,위드디스팅션,0045057,포더윈,,,API8_2
0047331,내길의위너,20210330,수,0041813,미스터크로우,0023882,러블리샤인,,,API8_2
0058000,내맘의열정,20221012,암,7000811,ADMIRE MARS,6137908,DORODANSA,,,API8_2
0045177,너트플레이,20200119,수,0027443,컬러즈플라잉,0030155,스페이스셔틀,,,API8_2
0055396,네가있어설레,20240206,암,0036732,머스킷맨,0039337,흥부자,,,API8_2
0061574,네오니케,20240303,암,6106383,CAIRO PRINCE,7034004,PAIXAO,,,API8_2
0055889,네이비캡틴,20220420,수,6126458,ARMY MULE,6529413,HERMIONE'S MAGIC,,,API8_2
0053963,노블매치,20230330,암,7000060,나이트러스,0016365,노블파티,,,API8_2
0051573,노프라블럼,20220508,거,0034735,페더럴리스트,0038177,킬리의여왕,,,API8_2
0053910,누리돌풍,20230423,수,0032990,한센,0040231,스프렌도타운,,,API8_2
0060769,누리봄,20240420,암,0032258,트리플나인,0043087,브라이트빅터,,,API8_2
0053579,누리비상,20230423,수,0050506,에어포스블루,0035910,프리마퀸,,,API8_2
0053539,누리여왕,20230415,암,0037972,올드패션드,0031050,행복거탑,,,API8_2
0053048,누리으뜸,20220201,암,0032258,트리플나인,0031919,울트라매직,,,API8_2
0052821,누리제왕,20230127,수,0045050,섀클포드,0040811,굿바우,,,API8_2
0056226,누리챔프,20240422,수,0045050,섀클포드,0043816,정든로,,,API8_2
0051594,누리천왕,20220320,수,0034735,페더럴리스트,0038641,볼드퀸,,,API8_2
